[2025-08-11T13:07:39.697316900] Count: 2 | Avg: 19.00ms | StdDev: 2.00 | Median: 21ms | P90: 21ms | P95: 21ms | P99: 21ms | Min: 17ms | Max: 21ms
[2025-08-11T13:07:39.715300800] Count: 2 | Avg: 51.50ms | StdDev: 7.50 | Median: 59ms | P90: 59ms | P95: 59ms | P99: 59ms | Min: 44ms | Max: 59ms
[2025-08-11T13:07:39.716301100] Count: 2 | Avg: 57.00ms | StdDev: 7.00 | Median: 64ms | P90: 64ms | P95: 64ms | P99: 64ms | Min: 50ms | Max: 64ms
[2025-08-11T13:07:39.727302400] Count: 2 | Avg: 45.50ms | StdDev: 0.50 | Median: 46ms | P90: 46ms | P95: 46ms | P99: 46ms | Min: 45ms | Max: 46ms
[2025-08-11T13:07:39.764297600] Count: 2 | Avg: 21.00ms | StdDev: 6.00 | Median: 27ms | P90: 27ms | P95: 27ms | P99: 27ms | Min: 15ms | Max: 27ms
[2025-08-11T13:07:39.767297400] Count: 2 | Avg: 26.00ms | StdDev: 12.00 | Median: 38ms | P90: 38ms | P95: 38ms | P99: 38ms | Min: 14ms | Max: 38ms
[2025-08-11T13:07:39.787334] Count: 2 | Avg: 36.00ms | StdDev: 7.00 | Median: 43ms | P90: 43ms | P95: 43ms | P99: 43ms | Min: 29ms | Max: 43ms
[2025-08-11T13:07:39.787334] Count: 2 | Avg: 42.00ms | StdDev: 6.00 | Median: 48ms | P90: 48ms | P95: 48ms | P99: 48ms | Min: 36ms | Max: 48ms
[2025-08-11T13:07:39.912866200] Count: 1 | Avg: 27.00ms | StdDev: 0.00 | Median: 27ms | P90: 27ms | P95: 27ms | P99: 27ms | Min: 27ms | Max: 27ms
[2025-08-11T13:07:40.099521400] Count: 1 | Avg: 29.00ms | StdDev: 0.00 | Median: 29ms | P90: 29ms | P95: 29ms | P99: 29ms | Min: 29ms | Max: 29ms
[2025-08-11T13:07:40.412291800] Count: 1 | Avg: 23.00ms | StdDev: 0.00 | Median: 23ms | P90: 23ms | P95: 23ms | P99: 23ms | Min: 23ms | Max: 23ms
[2025-08-11T13:07:58.123018900] Count: 2 | Avg: 234.00ms | StdDev: 62.00 | Median: 296ms | P90: 296ms | P95: 296ms | P99: 296ms | Min: 172ms | Max: 296ms
